,Unit_1_Computer_Orga,Unit_3_Computer_Orga,Total,Avg %
Memory Organization,148,39,187,14.62
CPU Organization,150,20,170,13.29
Bus and Memory Transfer,133,0,133,10.4
Computer Arithmetic - Addition and Subtraction,16,107,123,9.62
Stack Organization,123,0,123,9.62
Instruction Format,77,0,77,6.02
Basic Structure of Computers,65,2,67,5.24
Addressing Modes,61,0,61,4.77
Register Transfer Language,53,5,58,4.53
Booth Algorithm,0,57,57,4.46
I/O System,45,1,46,3.6
Division Algorithm,4,29,33,2.58
General Register Organization,32,0,32,2.5
Multiplication Algorithm,4,28,32,2.5
Floating Point Arithmetic,0,30,30,2.35
ALU Design,21,8,29,2.27
Control Unit Design,16,0,16,1.25
Interrupt and DMA,4,1,5,0.39
Pipeline,0,0,0,0.0
